,Ano,Mes,Tmax_conv,Mes_deslocado
386,1993,03,0.8008787096774195,2
387,1993,04,0.7385893333333333,3
388,1993,05,0.5897006451612905,4
389,1993,06,0.4959266666666666,5
390,1993,07,0.5167432258064515,6
391,1993,08,0.6089612903225807,7
392,1993,09,0.6101320000000001,8
393,1993,10,0.7603432258064515,9
394,1993,11,0.8599053333333333,10
395,1993,12,0.7839303225806453,11
396,1994,01,0.7567845161290323,0
397,1994,02,0.8211928571428573,1
398,1994,03,0.7524670967741935,2
399,1994,04,0.7131879999999999,3
400,1994,05,0.6270206451612904,4
401,1994,06,0.5183133333333334,5
402,1994,07,0.5850374193548388,6
403,1994,08,0.6937896774193548,7
404,1994,09,0.8175613333333334,8
405,1994,10,0.7902193548387098,9
406,1994,11,0.7981440000000002,10
407,1994,12,0.8316993548387097,11
408,1995,01,0.8023509677419356,0
409,1995,02,0.7475085714285716,1
410,1995,03,0.7879522580645162,2
411,1995,04,0.6965026666666667,3
412,1995,05,0.5866245161290322,4
413,1995,06,0.5776466666666666,5
414,1995,07,0.6254709677419354,6
415,1995,08,0.7681961290322581,7
416,1995,09,0.6903613333333333,8
417,1995,10,0.6792490322580644,9
418,1995,11,0.8074906666666666,10
419,1995,12,0.8095161290322579,11
420,1996,01,0.7914903225806451,0
421,1996,02,0.7735268965517241,1
422,1996,03,0.7530400000000002,2
423,1996,04,0.7258906666666667,3
424,1996,05,0.6037251612903225,4
425,1996,06,0.5149093333333333,5
426,1996,07,0.538058064516129,6
427,1996,08,0.6857806451612902,7
428,1996,09,0.6401173333333332,8
429,1996,10,0.7134116129032257,9
430,1996,11,0.7592746666666668,10
431,1996,12,0.7775058064516129,11
432,1997,01,0.755112258064516,0
433,1997,02,0.7813957142857144,1
434,1997,03,0.7645122580645161,2
435,1997,04,0.7111386666666666,3
436,1997,05,0.589545806451613,4
437,1997,06,0.4379706666666665,5
438,1997,07,0.5852335483870967,6
439,1997,08,0.6724529032258064,7
440,1997,09,0.7417333333333334,8
441,1997,10,0.7489458064516128,9
442,1997,11,0.7498880000000001,10
443,1997,12,0.8322064516129033,11
444,1998,01,0.8612890322580646,0
445,1998,02,0.8030042857142858,1
446,1998,03,0.8004800000000001,2
447,1998,04,0.6597786666666665,3
448,1998,05,0.568491612903226,4
449,1998,06,0.5068586666666668,5
450,1998,07,0.5808154838709678,6
451,1998,08,0.6186606451612904,7
452,1998,09,0.576004,8
453,1998,10,0.6562993548387097,9
454,1998,11,0.7923893333333332,10
455,1998,12,0.8275264516129033,11
456,1999,01,0.785047741935484,0
457,1999,02,0.8059457142857143,1
458,1999,03,0.8048451612903227,2
459,1999,04,0.7205360000000001,3
460,1999,05,0.5652683870967743,4
461,1999,06,0.47641333333333324,5
462,1999,07,0.568338064516129,6
463,1999,08,0.674843870967742,7
464,1999,09,0.745268,8
465,1999,10,0.744621935483871,9
466,1999,11,0.7637,10
467,1999,12,0.8427522580645161,11
468,2000,01,0.8420541935483872,0
469,2000,02,0.7585227586206897,1
470,2000,03,0.7451832258064515,2
471,2000,04,0.7431573333333332,3
472,2000,05,0.5641264516129032,4
473,2000,06,0.5882080000000001,5
474,2000,07,0.4772735483870969,6
475,2000,08,0.6135406451612904,7
476,2000,09,0.6155306666666667,8
477,2000,10,0.8281006451612902,9
478,2000,11,0.7809360000000001,10
479,2000,12,0.8192386666666667,11
480,2001,01,0.8577535483870968,0
481,2001,02,0.8196857142857144,1
482,2001,03,0.8575341935483873,2
483,2001,04,0.8281653333333332,3
484,2001,05,0.580846451612903,4
485,2001,06,0.5288266666666666,5
486,2001,07,0.6104129032258065,6
487,2001,08,0.6955961290322581,7
488,2001,09,0.7059613333333332,8
489,2001,10,0.8046851612903225,9
490,2001,11,0.8411520000000001,10
491,2001,12,0.7919612903225808,11
492,2002,01,0.818308387096774,0
493,2002,02,0.8045428571428572,1
494,2002,03,0.9416348387096776,2
495,2002,04,0.9271893333333336,3
496,2002,05,0.6421277419354838,4
497,2002,06,0.7009053333333333,5
498,2002,07,0.5519445161290324,6
499,2002,08,0.7470064516129031,7
500,2002,09,0.7057413333333333,8
501,2002,10,0.8983741935483871,9
502,2002,11,0.8110013333333332,10
503,2002,12,0.8684722580645161,11
